idMusica,nome,nota
1,"Layla - Eric Clapton",0.00
2,"Rainbow in the Dark - Dio",0.00
3,"Wildcard  - KSHMR",0.00
4,"Kings & Queens - Ava Max",0.00
5,"Let it Be - Beatles",0.00
6,"I Cant Quit You Baby – Otis Rush",0.00
7,"I’d Rather Go Blind – Etta James",0.00
8,"Fly Me To The Moon - Frank Sinatra",0.00
9,"Mood Indigo - Duke Ellington & His Famous Orchestra",0.00
10,"Lone Digger - Caravan Palace ",0.00
11,"Crossroad Blues – Robert Johnson",0.00
12,"Desce Pro Play - MC Zaac, Annitta, Tyga",0.00
13,"Os Boys Amam, o Ex Chora - Jerry Smith, Simone e Simaria",0.00
14,"Born This Way - Lady Gaga",0.00
15,"We Found Love - Rihanna ",0.00
16,"Memories - Maroon 5",0.00
17,"Moonlight Sonata - Bethoveen",0.00
18,"Oh Juliana - MC Niack",0.00
19,"Sad Story (Out Of Luck) - Merk & Kremont",0.00
20,"Life Goes On - BTS",0.00
